Record_ID,Dataset_Owner,Split_Role,Scope_Flag,Molecule_Name,System_Code,Unit_Type,Oligomer_n,Canonical_SMILES,InChIKey,HOMO_eV,LUMO_eV,Eg_eV,Experimental_Eg_eV,S_Count,Se_Count,Te_Count,Chalcogen_Type,Method,Basis_Set,Curation_Status
HAKAN_0001,Hakan Kayı dataset,External Validation,O_Control,,OOO,Monomer,1,,,-4.99,-2.5,2.49,,,,,,,LC-B3LYP,LANL2DZ,External-validation metadata ready; exact canonical structure representation pending
HAKAN_0002,Hakan Kayı dataset,External Validation,O_Control,,OOO,Dimer,2,,,-4.51,-2.55,1.96,,,,,,,LC-B3LYP,LANL2DZ,External-validation metadata ready; exact canonical structure representation pending
HAKAN_0003,Hakan Kayı dataset,External Validation,O_Control,,OOO,Trimer,3,,,-4.33,-2.48,1.85,,,,,,,LC-B3LYP,LANL2DZ,External-validation metadata ready; exact canonical structure representation pending
HAKAN_0004,Hakan Kayı dataset,External Validation,O_Control,,OOO,Tetramer,4,,,-4.26,-2.61,1.65,,,,,,,LC-B3LYP,LANL2DZ,External-validation metadata ready; exact canonical structure representation pending
HAKAN_0005,Hakan Kayı dataset,External Validation,O_Control,,OOO,Pentamer,5,,,-4.21,-2.62,1.59,,,,,,,LC-B3LYP,LANL2DZ,External-validation metadata ready; exact canonical structure representation pending
HAKAN_0006,Hakan Kayı dataset,External Validation,O_Control,,OOO,Hexamer,6,,,-4.2,-2.67,1.53,,,,,,,LC-B3LYP,LANL2DZ,External-validation metadata ready; exact canonical structure representation pending
HAKAN_0007,Hakan Kayı dataset,External Validation,O_Control,,OOO,Polymer,polymer,,,,,1.38,,,,,,,LC-B3LYP,LANL2DZ,External-validation metadata ready; exact canonical structure representation pending
HAKAN_0008,Hakan Kayı dataset,External Validation,Core_SSeTe,,OSO,Monomer,1,,,-4.82,-2.43,2.4,,,,,S,LC-B3LYP,LANL2DZ,External-validation metadata ready; exact canonical structure representation pending
HAKAN_0009,Hakan Kayı dataset,External Validation,Core_SSeTe,,OSO,Dimer,2,,,-4.36,-2.46,1.89,,,,,S,LC-B3LYP,LANL2DZ,External-validation metadata ready; exact canonical structure representation pending
HAKAN_0010,Hakan Kayı dataset,External Validation,Core_SSeTe,,OSO,Trimer,3,,,-4.19,-2.49,1.71,,,,,S,LC-B3LYP,LANL2DZ,External-validation metadata ready; exact canonical structure representation pending
